,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,CNTY_NM,TRFC_STATN_ID,AADT_RPT_QTY,AADT_RPT_HIST_05_QTY,LATITUDE,LONGITUDE,5Yr_Growth,Wildfire_Risk,City
102,102,102,102,Hays,106H47A,7353,5359.0,30.160701,-98.078623,0.3720843440940474,Minimal Direct Wildfire Impacts,Dripping Springs
103,103,103,103,Hays,106H48,7538,6142.0,30.127948,-98.031688,0.2272875284923477,Minimal Direct Wildfire Impacts,Unknown
104,104,104,104,Hays,106H49,9310,6940.0,30.131748,-98.029968,0.3414985590778098,Minimal Direct Wildfire Impacts,Unknown
105,105,105,105,Hays,106H5,15319,13270.0,29.988317,-97.873623,0.1544084400904295,Minimal Direct Wildfire Impacts,Kyle
106,106,106,106,Hays,106H50,9702,8359.0,30.133228,-98.009155,0.1606651513338916,Minimal Direct Wildfire Impacts,Unknown
107,107,107,107,Hays,106H51,19243,14057.0,30.09634,-97.879359,0.368926513480828,Minimal Direct Wildfire Impacts,Buda
108,108,108,108,Hays,106H52,29189,19891.0,30.102554,-97.875043,0.467447589,Minimal Direct Wildfire Impacts,Unknown
109,109,109,109,Hays,106H52A,32517,18711.0,30.094471,-97.874779,0.7378547378547379,Minimal Direct Wildfire Impacts,Buda
110,110,110,110,Hays,106H52B,34387,33808.0,30.013631,-97.862044,0.0171261239943208,Minimal Direct Wildfire Impacts,Kyle
111,111,111,111,Hays,106H53,15075,15812.0,30.099455,-97.871676,-0.046610169,Minimal Direct Wildfire Impacts,Buda
112,112,112,112,Hays,106H54,16489,19969.0,30.085048,-97.847587,-0.174270119,Minimal Direct Wildfire Impacts,Buda
113,113,113,113,Hays,106H56,3956,5180.0,30.076805,-97.850456,-0.236293436,Minimal Direct Wildfire Impacts,Buda
114,114,114,114,Hays,106H57,17296,13095.0,30.016126,-97.890112,0.3208094692630775,Minimal Direct Wildfire Impacts,Kyle
115,115,115,115,Hays,106H57A,9638,8921.0,30.007458,-97.889047,0.080372156,Minimal Direct Wildfire Impacts,Kyle
116,116,116,116,Hays,106H58,7119,7232.0,30.026948,-97.908887,-0.015625,Minimal Direct Wildfire Impacts,Kyle
117,117,117,117,Hays,106H59,25572,23832.29046093283,30.050973,-97.874633,0.072998,Minimal Direct Wildfire Impacts,Unknown
118,118,118,118,Hays,106H6A,116120,108220.14579710308,29.997035,-97.869805,0.072998,Minimal Direct Wildfire Impacts,Kyle
119,119,119,119,Hays,106H6ANBSR,14221,14615.0,29.997741,-97.86899,-0.026958604,Minimal Direct Wildfire Impacts,Kyle
120,120,120,120,Hays,106H6ASBSR,26361,23887.0,29.997509,-97.870059,0.1035709800309792,Minimal Direct Wildfire Impacts,Kyle
121,121,121,121,Hays,106H7,107548,113972.0,30.027975,-97.850094,-0.056364721,Minimal Direct Wildfire Impacts,Kyle
122,122,122,122,Hays,106H7NBSR,13143,6170.0,30.02752,-97.849859,1.1301458670988656,Minimal Direct Wildfire Impacts,Kyle
123,123,123,123,Hays,106H7SBSR,27595,23875.0,30.028574,-97.850237,0.1558115183246073,Minimal Direct Wildfire Impacts,Kyle
124,124,124,124,Hays,106H8,6182,5030.0,30.043206,-97.844647,0.2290258449304175,Minimal Direct Wildfire Impacts,Buda
125,125,125,125,Hays,106HP107,3594,3358.0,29.897331,-97.963693,0.070279929,Minimal Direct Wildfire Impacts,San Marcos
126,126,126,126,Hays,106HP11,903,2932.0,30.08590311,-97.85129097,-0.6920191,Minimal Direct Wildfire Impacts,Buda
127,127,127,127,Hays,106HP110,4892,6293.0,29.874476,-97.95568,-0.222628317,Minimal Direct Wildfire Impacts,San Marcos
128,128,128,128,Hays,106HP12,2885,5209.0,30.05838466,-97.82679298,-0.446150893,Minimal Direct Wildfire Impacts,Buda
129,129,129,129,Hays,106HP129,3190,3815.0,29.874725,-97.928688,-0.163826999,Minimal Direct Wildfire Impacts,San Marcos
130,130,130,130,Hays,106HP131,3614,3868.0,29.881151,-97.937114,-0.065667011,Minimal Direct Wildfire Impacts,San Marcos
131,131,131,131,Hays,106HP132,6765,6891.0,29.884003,-97.93754399,-0.018284719,Minimal Direct Wildfire Impacts,San Marcos
132,132,132,132,Hays,106HP146,5732,5984.0,29.880299,-97.913498,-0.042112299,Minimal Direct Wildfire Impacts,San Marcos
133,133,133,133,Hays,106HP15,8072,9520.0,29.900215,-97.9176566,-0.15210084,Minimal Direct Wildfire Impacts,San Marcos
134,134,134,134,Hays,106HP1566,8722,7911.0,29.845282,-97.939816,0.1025154847680444,Minimal Direct Wildfire Impacts,San Marcos
135,135,135,135,Hays,106HP16,1190,1416.0,29.878407,-97.94773,-0.15960452,Minimal Direct Wildfire Impacts,San Marcos
136,136,136,136,Hays,106HP161,8511,7340.0,30.205486,-97.972688,0.1595367847411444,Minimal Direct Wildfire Impacts,Unknown
137,137,137,137,Hays,106HP1660,1665,1730.0,30.032465,-97.828223,-0.037572254,Minimal Direct Wildfire Impacts,Kyle
138,138,138,138,Hays,106HP1669,6180,4905.0,30.027447,-97.851561,0.2599388379204893,Minimal Direct Wildfire Impacts,Kyle
139,139,139,139,Hays,106HP18,1608,1498.6048436250585,29.851892,-97.955878,0.072998,Minimal Direct Wildfire Impacts,San Marcos
140,140,140,140,Hays,106HP217,1713,1803.0,29.875465,-97.94954,-0.049916805,Minimal Direct Wildfire Impacts,San Marcos
141,141,141,141,Hays,106HP224,8070,5434.0,30.16303399,-97.95427399,0.4850938535149061,Minimal Direct Wildfire Impacts,Unknown
142,142,142,142,Hays,106HP3,17806,16128.0,29.892333,-97.944106,0.1040426587301587,Minimal Direct Wildfire Impacts,San Marcos
143,143,143,143,Hays,106HP3A,21704,25166.0,29.889197,-97.934583,-0.137566558,Minimal Direct Wildfire Impacts,San Marcos
144,144,144,144,Hays,106HP3B,2249,2167.0,29.936936,-97.896206,0.037840332,Minimal Direct Wildfire Impacts,Unknown
145,145,145,145,Hays,106HP6,2761,2477.0,29.943499,-97.876198,0.1146548243843358,Minimal Direct Wildfire Impacts,San Marcos
146,146,146,146,Hays,106HP72A,2613,2301.0,29.833103,-97.944001,0.135593220338983,Minimal Direct Wildfire Impacts,San Marcos
147,147,147,147,Hays,106HP8,2178,1728.0,29.91806899,-97.8515,0.2604166666666667,Minimal Direct Wildfire Impacts,Unknown
148,148,148,148,Hays,106HP8023,995,1286.0,29.87733499,-97.95758499,-0.226283048,Minimal Direct Wildfire Impacts,San Marcos
149,149,149,149,Hays,106HP8024,398,379.0,29.883387,-97.947927,0.050131926,Minimal Direct Wildfire Impacts,San Marcos
150,150,150,150,Hays,106HP8038,2884,2687.796249387231,29.89002599,-97.948743,0.072998,Minimal Direct Wildfire Impacts,San Marcos
151,151,151,151,Hays,106HP8055,445,414.7258429186261,29.765773,-97.986214,0.072998,Minimal Direct Wildfire Impacts,Unknown
152,152,152,152,Hays,106HP88,3275,1954.0,30.057636,-97.828791,0.6760491299897646,Minimal Direct Wildfire Impacts,Kyle
153,153,153,153,Hays,106SP276,136818,123597.0,30.065403,-97.830818,0.1069686157431005,Minimal Direct Wildfire Impacts,Buda
154,154,154,154,Hays,106SP276NBSR,12647,15002.0,30.065072,-97.830432,-0.156979069,Minimal Direct Wildfire Impacts,Buda
155,155,155,155,Hays,106SP276SBSR,9808,8388.0,30.065114,-97.831398,0.1692894611349547,Minimal Direct Wildfire Impacts,Buda
156,156,156,156,Hays,106T12,15104,12884.0,29.880789,-97.940428,0.1723067370381868,Minimal Direct Wildfire Impacts,San Marcos
157,157,157,157,Hays,106T12NBDR,6688,5665.0,29.880841,-97.939766,0.1805825242718446,Minimal Direct Wildfire Impacts,San Marcos
158,158,158,158,Hays,106T12SBDR,8416,7219.0,29.880715,-97.941058,0.1658124393960382,Minimal Direct Wildfire Impacts,San Marcos
159,159,159,159,Hays,106T13,21554,23902.0,29.883291,-97.93952,-0.098234457,Minimal Direct Wildfire Impacts,San Marcos
160,160,160,160,Hays,106T21,10798,8904.0,29.882565,-97.946465,0.2127133872416891,Minimal Direct Wildfire Impacts,San Marcos
161,161,161,161,Hays,106T22,11426,9510.0,29.883851,-97.940927,0.201472135,Minimal Direct Wildfire Impacts,San Marcos
162,162,162,162,Hays,106T22NBDR,5556,4332.0,29.883892,-97.940249,0.2825484764542936,Minimal Direct Wildfire Impacts,San Marcos
163,163,163,163,Hays,106T22SBDR,5870,5178.0,29.883773,-97.941572,0.1336423329470838,Minimal Direct Wildfire Impacts,San Marcos
164,164,164,164,Hays,106T23,1339,699.0,29.9889,-97.873986,0.915593705293276,Minimal Direct Wildfire Impacts,Kyle
165,165,165,165,Hays,106T24,16252,13908.0,29.988465,-97.874999,0.1685360943341961,Minimal Direct Wildfire Impacts,Kyle
166,166,166,166,Hays,106T25,13452,10367.0,29.989569,-97.882805,0.297578855985338,Minimal Direct Wildfire Impacts,Kyle
167,167,167,167,Hays,106T27,8609,8798.0,30.081202,-97.84329,-0.021482155,Minimal Direct Wildfire Impacts,Buda
