CNTY_NM,City,LATITUDE,LONGITUDE,Wildfire_Risk,RISK_STATE_RANK_Scaled,AADT_RPT_QTY_Scaled,5Yr_Growth_Scaled,Gridlock_Risk_Score
Hays,Kyle,30.027447,-97.851561,0,0.5747303543913713,0.0324122212769532,0.2106917660058906,0.1878772670631274
Hays,San Marcos,29.851892,-97.955878,0,0.4021571648690292,0.0084023904800915,0.1583696856140683,0.13046305580205378
Hays,San Marcos,29.875465,-97.94954,0,0.4021571648690292,0.0089537973553475,0.1239675807551476,0.12030784640695437
Hays,San Marcos,29.892333,-97.944106,0,0.4021571648690292,0.0934660911029187,0.1670586438314639,0.1585888534541206
Hays,San Marcos,29.889197,-97.934583,0,0.4021571648690292,0.1139364149100419,0.0994356621342419,0.144443056087091
Hays,San Marcos,29.943499,-97.876198,0,0.4021571648690292,0.0144573631198075,0.1700288379884268,0.13577729330627614
Hays,San Marcos,29.833103,-97.944001,0,0.4021571648690292,0.0136801420003991,0.1758891969707938,0.13730223466516372
Hays,San Marcos,29.87733499,-97.95758499,0,0.4021571648690292,0.0051832246274064,0.0746051790065553,0.10436795406399435
Hays,San Marcos,29.883387,-97.947927,0,0.4021571648690292,0.0020480826795223,0.1519697968825209,0.1266367968424188
Hays,San Marcos,29.89002599,-97.948743,0,0.4021571648690292,0.0151032968879646,0.1583696856140683,0.13247332772441572
Hays,Kyle,30.057636,-97.828791,0,0.5747303543913713,0.017156631061537,0.3271551155645,0.21823959486608535
Hays,Buda,30.065403,-97.830818,0,0.5208012326656394,0.7184569009883311,0.1678775775634249,0.37006059009865466
Hays,Buda,30.065072,-97.830432,0,0.5208012326656394,0.0663736332986734,0.0940023765426734,0.15227304948553194
Hays,Buda,30.065114,-97.831398,0,0.5208012326656394,0.0514646416905609,0.185320295371643,0.17519572765178906
Hays,San Marcos,29.880789,-97.940428,0,0.4021571648690292,0.0792765541796641,0.1861647879615412,0.16006383561616744
Hays,San Marcos,29.880841,-97.939766,0,0.4021571648690292,0.0350799802543823,0.1884810630449407,0.1474997459636027
Hays,San Marcos,29.880715,-97.941058,0,0.4021571648690292,0.0441545619728812,0.184347126464456,0.148981939505007
Hays,San Marcos,29.883291,-97.93952,0,0.4021571648690292,0.1131486908025333,0.1104441575138152,0.1475092874687104
Hays,San Marcos,29.882565,-97.946465,0,0.4021571648690292,0.0566636208001176,0.1974740343724891,0.15667272952558783
Hays,San Marcos,29.883851,-97.940927,0,0.4021571648690292,0.0599615590635535,0.1943277678314963,0.15671823104232077
Hays,San Marcos,29.883892,-97.940249,0,0.4021571648690292,0.0291352889897175,0.2170198820994908,0.15427798430056833
Hays,San Marcos,29.883773,-97.941572,0,0.4021571648690292,0.0307842581214355,0.175343171445534,0.1422696618438967
Hays,Kyle,29.9889,-97.873986,0,0.5747303543913713,0.0069897385806261,0.39420023342388,0.23530306247962607
Hays,Kyle,29.988465,-97.874999,0,0.5747303543913713,0.0853052693491298,0.1851094387244155,0.19607048330033786
Hays,Kyle,29.989569,-97.882805,0,0.5747303543913713,0.0706010860089695,0.2212266714541236,0.2024943981172022
Hays,Buda,30.081202,-97.84329,0,0.5208012326656394,0.0451681003245423,0.131926034669033,0.15728848703120046
Hays,Buda,30.07832,-97.844803,0,0.5208012326656394,0.0364716261776475,0.0542663410624113,0.13138163670514552
Hays,Buda,30.081912,-97.843355,0,0.5208012326656394,0.1019367510056611,0.1608439989718366,0.18299447152637718
Hays,Wimberley,29.999878,-98.10209,0,1.0,0.041008917036897,0.1394143193932068,0.25412697092903114
Hays,Dripping Springs,30.192758,-98.090189,0,0.8859784283513097,0.0180441335559966,0.2285088449099252,0.25116157921003845
Hays,Dripping Springs,30.19358,-98.087413,0,0.8859784283513097,0.0670405730430307,0.1202648291602349,0.2333873063312416
Hays,San Marcos,29.88557,-97.93976,0,0.4021571648690292,0.0603921815756582,0.1896625579531274,0.1554478548324415
Hays,San Marcos,29.874713,-97.932014,0,0.4021571648690292,0.7604951108590394,0.1622905432333058,0.3572671292015094
Hays,San Marcos,29.874388,-97.931683,0,0.4021571648690292,0.0391498881431767,0.1000066542950449,0.12217839570527231
Hays,San Marcos,29.874889,-97.93219,0,0.4021571648690292,0.0407148333700937,0.1137855032494066,0.1267815339596559
Hays,San Marcos,29.864678,-97.938315,0,0.4021571648690292,0.0235056873680562,0.1349742160138926,0.12797540398839047
Hays,San Marcos,29.86362,-97.938885,0,0.4021571648690292,0.1238459841824999,0.1858320635970195,0.17333484730766166
Hays,San Marcos,29.87494,-97.940075,0,0.4021571648690292,0.0802953440253752,0.1498802752395978,0.14948411875329776
Hays,San Marcos,29.881196,-97.931737,0,0.4021571648690292,0.0059551942527649,0.1583696856140683,0.1297288969338558
Hays,Kyle,30.01379,-97.890017,0,0.5747303543913713,0.0092846414805012,0.1583696856140683,0.16524236900664513
Hays,San Marcos,29.825298,-97.91983,0,0.4021571648690292,0.0283843253405593,0.2647700418821742,0.16837774314062587
Hays,Kyle,29.955887,-97.878599,0,0.5747303543913713,0.0066483914673724,0.1583696856140683,0.16445149400270648
Hays,Kyle,29.987883,-97.871233,0,0.5747303543913713,0.1083435737467309,0.1583696856140683,0.194960048686514
Bastrop,Bastrop,30.10513,-97.297761,0,0.2557781201848997,0.1890642887901608,0.1373975649717764,0.1490941801655611
Bastrop,Bastrop,30.111009,-97.365651,0,0.2557781201848997,0.2642341746226802,0.1610205811433036,0.17873205076677506
Bastrop,Bastrop,30.111182,-97.375299,0,0.2557781201848997,0.0119996639043807,0.5711395595029526,0.22609739105917992
Bastrop,Bastrop,30.110717,-97.365922,0,0.2557781201848997,0.0420067009064078,0.2753796969879453,0.14637154340528585
Bastrop,Bastrop,30.111304,-97.365477,0,0.2557781201848997,0.0507819474640535,0.2772317808177769,0.14955974252152904
Bastrop,Bastrop,30.108908,-97.282333,0,0.2557781201848997,0.0,0.0,0.051155624036979944
Bastrop,Elgin,30.407541,-97.374152,0,0.3066255778120184,0.0521000724706178,0.4016728867397863,0.1974570033255249
Bastrop,Bastrop,30.105372,-97.311892,0,0.2557781201848997,0.0133440463811954,0.2167400076334736,0.12018084024138063
Bastrop,Bastrop,30.11192811,-97.4135609,0,0.2557781201848997,0.0488704036298326,0.2492964074640772,0.14060566736515287
Bastrop,Bastrop,30.110945,-97.299053,0,0.2557781201848997,0.1040215941435338,0.1755055311619728,0.1350137616286319
Bastrop,Elgin,30.331408,-97.361842,0,0.3066255778120184,0.0677600277278885,0.1521048263728957,0.12728457179263894
Bastrop,Elgin,30.320572,-97.357129,0,0.3066255778120184,0.060281900200607,0.1474360579986925,0.12364050302219354
Bastrop,Elgin,30.333664,-97.357178,0,0.3066255778120184,0.1445998886683261,0.2516247631222416,0.18019251109957396
Bastrop,Elgin,30.311784,-97.306537,0,0.3066255778120184,0.1133745050466857,0.2202924603339802,0.16142520517660344
Bastrop,Bastrop,30.11061,-97.291886,0,0.2557781201848997,0.0013023705244141,0.0532864847714448,0.06753228062573761
Bastrop,Smithville,30.036975,-97.162496,0,0.3913713405238829,0.0209114493073279,0.1972825293529043,0.14373246170284626
Bastrop,Smithville,30.015228,-97.161027,0,0.3913713405238829,0.0191521988005587,0.0,0.0840199277449442
Bastrop,Smithville,30.017975,-97.147955,0,0.3913713405238829,0.0831416538005062,0.116393854742152,0.13813492066757405
Bastrop,Smithville,30.048485,-97.187623,0,0.3913713405238829,0.1182163825608385,0.1528768226978107,0.15960222968237134
Bastrop,Bastrop,30.101638,-97.281516,0,0.2557781201848997,0.1432660091796116,0.1967129825771394,0.15314932156400524
Bastrop,Bastrop,30.101329,-97.281594,0,0.2557781201848997,0.0100776170820598,0.1063676755695788,0.08608921183247152
Bastrop,Bastrop,30.101902,-97.281436,0,0.2557781201848997,0.0105607545346651,0.1301228042619844,0.0933606916759748
Bastrop,Bastrop,30.104716,-97.285716,0,0.2557781201848997,0.0415078089716524,0.1642552772458408,0.1128845499022279
Bastrop,Bastrop,30.108429,-97.283675,0,0.2557781201848997,0.0007142031908077,0.0770938516238749,0.07449804048138473
Bastrop,Bastrop,30.102964,-97.286329,0,0.2557781201848997,0.2049027948451334,0.3535537242716959,0.21869257977202872
Bastrop,Bastrop,30.102677,-97.286419,0,0.2557781201848997,0.0261629433573851,0.1450119250807666,0.10250808456842544
Bastrop,Bastrop,30.103196,-97.286173,0,0.2557781201848997,0.0294871390910714,0.1512888278066283,0.10538841410628985
Bastrop,Bastrop,30.106089,-97.307457,0,0.2557781201848997,0.1674701452563254,0.1833268438254936,0.15639472076152564
Bastrop,Bastrop,30.109169,-97.324793,0,0.2557781201848997,0.1037222589826805,0.1523566261657729,0.12797928958151597
Bastrop,Bastrop,30.10609,-97.328748,0,0.2557781201848997,0.0504038398924494,0.1810444896578037,0.12059012290205587
Bastrop,Bastrop,30.105524,-97.330375,0,0.2557781201848997,0.2577485794708595,0.2164634304597599,0.19341922701616576
Bastrop,Bastrop,30.105243,-97.33046,0,0.2557781201848997,0.0568684290680698,0.0983952934202283,0.09773474078346937
Bastrop,Bastrop,30.105805,-97.330245,0,0.2557781201848997,0.0485605654808793,0.0629687862109373,0.08461442954452492
Bastrop,Bastrop,30.108623,-97.350763,0,0.2557781201848997,0.0726334142063417,0.2279639183100874,0.14133482379190865
Bastrop,Bastrop,30.043956,-97.330597,0,0.2557781201848997,0.0254224826963271,0.1779882453655609,0.11217884245554634
Bastrop,Bastrop,30.110343,-97.282138,0,0.2557781201848997,0.0007037002027076,0.7220480174992012,0.2679811393475526
Bastrop,Smithville,30.002024,-97.144462,0,0.3913713405238829,0.0181439119429477,0.1839588066261188,0.13890508367549653
Bastrop,Smithville,29.996099,-97.130525,0,0.3913713405238829,0.0078719895810358,0.1639178290486718,0.12981121369368886
Bastrop,Smithville,30.000848,-97.166791,0,0.3913713405238829,0.0247240339876694,0.0872888842022583,0.11187814356175489
Bastrop,Smithville,29.996126,-97.167662,0,0.3913713405238829,0.0120784363151316,0.1451534174134596,0.12544382422335396
Bastrop,Smithville,29.952014,-97.177746,0,0.3913713405238829,0.0081450672716387,0.1763182520604151,0.1336132639043927
Bastrop,Bastrop,30.111158,-97.351927,0,0.2557781201848997,0.2758189704971064,0.1373975649717764,0.1751205846776448
Bastrop,Bastrop,30.110842,-97.351957,0,0.2557781201848997,0.0431882870676707,0.1373975649717764,0.10533137964881409
Bastrop,Bastrop,30.111437,-97.352021,0,0.2557781201848997,0.0543949753704929,0.1373975649717764,0.10869338613966073
Bastrop,Bastrop,30.104791,-97.322357,0,0.2557781201848997,0.1791337135415025,0.1373975649717764,0.14611500759096363
Bastrop,Bastrop,30.103973,-97.376373,0,0.2557781201848997,0.0429939817878186,0.174682284800777,0.11645850401355862
Bastrop,Bastrop,30.117881,-97.365027,0,0.2557781201848997,0.0571835187110733,1.0,0.36831067965030195
Bastrop,Bastrop,30.110552,-97.40831,0,0.2557781201848997,0.2862064257281196,0.162011961171084,0.18562114010674102
Bastrop,Bastrop,30.158817,-97.38848,0,0.2557781201848997,0.0354895967902868,0.3807431592543731,0.1760254508503779
Bastrop,Elgin,30.316039,-97.378962,0,0.3066255778120184,0.0352637825461343,0.3308347317763885,0.1711546698591605
Bastrop,Elgin,30.333999,-97.367741,0,0.3066255778120184,0.0374063921185577,0.2937361641380968,0.1606678824394
Bastrop,Elgin,30.345803,-97.381399,0,0.3066255778120184,0.2245381310982974,0.2245688736766132,0.19605721699487688
Bastrop,Elgin,30.351962,-97.389909,0,0.3066255778120184,0.1857295900683744,0.1885254147830505,0.17360161701783114
Bastrop,Elgin,30.35432,-97.384574,0,0.3066255778120184,0.0840764197414164,0.1980763457736488,0.14597094521692322
Bastrop,Elgin,30.356127,-97.384981,0,0.3066255778120184,0.0300753064246778,0.0967005825630642,0.09935788225872628
Bastrop,Elgin,30.35607,-97.381341,0,0.3066255778120184,0.0237735135646091,0.1522767285744001,0.11414018820410644
Bastrop,Elgin,30.357133,-97.382763,0,0.3066255778120184,0.0534654609236327,0.2086929359920828,0.13997263463711831
