DIST_NBR,DIST_NM,CNTY_NBR,CNTY_NM,TRFC_STATN_ID,CATEGORY,ACTIVE,AADT_RPT_YEAR,AADT_RPT_QTY,AADT_RPT_HIST_01_QTY,AADT_RPT_HIST_02_QTY,AADT_RPT_HIST_03_QTY,AADT_RPT_HIST_04_QTY,AADT_RPT_HIST_05_QTY,AADT_RPT_HIST_06_QTY,AADT_RPT_HIST_07_QTY,AADT_RPT_HIST_08_QTY,AADT_RPT_HIST_09_QTY,AADT_RPT_HIST_10_QTY,AADT_RPT_HIST_11_QTY,AADT_RPT_HIST_12_QTY,AADT_RPT_HIST_13_QTY,AADT_RPT_HIST_14_QTY,AADT_RPT_HIST_15_QTY,AADT_RPT_HIST_16_QTY,AADT_RPT_HIST_17_QTY,AADT_RPT_HIST_18_QTY,AADT_RPT_HIST_19_QTY,ON_ROAD,COUNT_CYCLE,LATITUDE,LONGITUDE,OBJECTID_1,geometry
14,Austin,106,Hays,106H15,ANNUAL ACR,1,2023,14105,11965.0,13056.0,7075.0,12676.0,11907.0,11872.0,10635.0,10924.0,9392.0,10868.0,10270.0,9500.0,10000.0,10400.0,10500.0,11000.0,10800.0,9700.0,9000.0,SH0021,1,29.880054,-97.899392,490230,POINT (-97.899392 29.880053999999994)
14,Austin,106,Hays,106H15A,ANNUAL ACR,1,2023,12768,10302.0,11242.0,8732.0,10915.0,10376.0,9264.0,9040.0,10243.0,8023.0,9673.0,8100.0,7800.0,8000.0,8200.0,8300.0,8900.0,8700.0,8700.0,8500.0,SH0021,1,29.889906,-97.885673,490231,POINT (-97.885673 29.889905999999996)
14,Austin,106,Hays,106H16,ANNUAL ACR,1,2023,16313,19803.0,17440.0,16852.0,20062.0,16010.0,17601.0,18006.0,16746.0,19267.0,19008.0,15700.0,14000.0,14800.0,14100.0,14800.0,16500.0,16200.0,12500.0,12000.0,SH0080,1,29.874179,-97.901506,490232,POINT (-97.90150600000001 29.874178999999998)
14,Austin,106,Hays,106H160,ANNUAL ACR,1,2023,23176,12896.0,12896.0,12520.0,,,,,,,,,,,,,,,,,SH0123,1,29.838332,-97.941399,490233,POINT (-97.941399 29.838331999999994)
14,Austin,106,Hays,106H17,ANNUAL ACR,1,2023,3698,7450.0,,5784.0,6300.0,5189.0,5650.0,6320.0,6000.0,5642.0,5941.0,5600.0,6200.0,5000.0,5700.0,6500.0,6700.0,6600.0,6240.0,6500.0,FM0621,1,29.858494,-97.933945,490234,POINT (-97.933945 29.858494)
14,Austin,106,Hays,106H1784,ANNUAL ACR,1,2023,6728,6000.0,1585.0,1569.0,,,,,,,,,,,,,,,,,FM0110,1,29.828166,-97.954715,490235,POINT (-97.95471500000001 29.828166000000003)
14,Austin,106,Hays,106H18,ANNUAL ACR,1,2023,24909,17190.0,,14511.0,18139.0,17743.0,17594.0,15306.0,17880.0,13329.0,7320.0,13800.0,12700.0,17500.0,15700.0,16300.0,13800.0,14200.0,13650.0,14500.0,SH0123,1,29.851861,-97.940084,490238,POINT (-97.940084 29.851860999999992)
14,Austin,106,Hays,106H18A,ANNUAL ACR,1,2023,30613,28299.0,28299.0,21980.0,27475.0,27924.0,27134.0,27541.0,29729.0,23266.0,23644.0,25000.0,23000.0,26000.0,26000.0,22000.0,28000.0,25000.0,24990.0,24000.0,SH0123,1,29.866879,-97.938705,490239,POINT (-97.938705 29.866878999999997)
14,Austin,106,Hays,106H18B,ANNUAL ACR,1,2023,19565,20792.0,20792.0,10193.0,20186.0,16379.0,15242.0,17274.0,16793.0,14665.0,16848.0,18700.0,17500.0,19400.0,22000.0,18000.0,23000.0,22000.0,22000.0,22000.0,SL0082,1,29.872068,-97.939599,490240,POINT (-97.939599 29.872067999999995)
14,Austin,106,Hays,106H19,ANNUAL ACR,1,2023,120768,123124.0,119798.0,117230.0,131719.0,104785.0,103493.0,102809.0,96955.0,99557.0,80752.0,80350.0,79370.0,93050.0,64660.0,66070.0,70750.0,71000.0,81430.0,79000.0,IH0035,1,29.856092,-97.954086,490241,POINT (-97.954086 29.856091999999993)
14,Austin,106,Hays,106H19B,ANNUAL ACR,1,2023,26337,24917.0,26061.0,16144.0,25302.0,25302.0,22079.0,22057.0,24276.0,18864.0,21589.0,20000.0,21000.0,24000.0,21000.0,17400.0,19600.0,17600.0,17180.0,17900.0,RM0012,1,29.855413,-97.9513,490245,POINT (-97.9513 29.855413000000006)
14,Austin,106,Hays,106H19C,ANNUAL ACR,1,2023,14682,10665.0,10665.0,8408.0,10559.0,10136.0,11795.0,9960.0,6017.0,3721.0,3336.0,,,,,,,,,,FM0110,1,29.836549,-97.968756,490246,POINT (-97.96875599999998 29.836548999999994)
14,Austin,106,Hays,106H19NBSR,ANNUAL ACR,1,2023,12522,13558.0,12640.0,10513.0,12515.0,12741.0,11647.0,15827.0,15484.0,12788.0,8538.0,8170.0,,,,,,,,,IH0035,1,29.85567,-97.954039,490247,POINT (-97.954039 29.855670000000003)
14,Austin,106,Hays,106H19SBSR,ANNUAL ACR,1,2023,11145,10827.0,10094.0,7596.0,9994.0,10179.0,9799.0,11646.0,11403.0,10845.0,,,,,,,,,,,IH0035,1,29.856317,-97.954371,490248,POINT (-97.954371 29.85631699999999)
14,Austin,106,Hays,106H1A,ANNUAL ACR,1,2023,120825,122915.0,114361.0,101275.0,113792.0,90784.0,85636.0,84952.0,79098.0,90895.0,79536.0,79140.0,78390.0,76450.0,58940.0,61170.0,58060.0,59000.0,87320.0,84000.0,IH0035,1,29.889739,-97.915421,490249,POINT (-97.915421 29.889738999999995)
